Employee_Number,Age,Age_Group,Attrition,Business_Travel,Daily_Rate,Department,Distance_From_Home,Education,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Rate,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_Since_Last_Promotion,Years_With_Curr_Manager,Date_Birth,Remote_Work,Satisfaction_Group
1352,51,46-55,False,Unknown,770,Unknown,5,3,Life Sciences,3,M,84,3,4, Manager ,2,Unknown,17588,1,Unknown,0.11,3,2,1,11,2,3,33,0,10,1972,True,B
1360,58,56-65,True,Unknown,601,Research & Development,14,4,Medical,2,F,53,2,3, Manufacturing Director ,1,Married,12023,7,Unknown,0.14,3,4,0,11,0,2,10,5,9,1965,True,B
2110,48,46-55,False,Unknown,855,Research & Development,4,3,Life Sciences,4,M,54,3,3, Manufacturing Director ,4,Single,18706,1,False,0.11,3,3,0,11,2,3,10,0,8,1975,True,A
1419,29,26-35,False,Travel Rarely,332,Human Resources,17,3,Unknown,2,M,51,2,3, Human Resources ,1,Single,9769,1,Unknown,0.13,3,1,0,11,3,2,10,0,9,1994,False,B
1478,34,26-35,False,Unknown,1326,Sales,3,3,Other,4,M,81,1,2, Sales Executive ,1,Single,15891,3,False,0.18,3,4,0,15,2,3,13,3,12,1989,True,B
1480,42,36-45,False,Travel Frequently,748,Research & Development,9,2,Unknown,1,F,74,3,1, Laboratory Technician ,4,Unknown,16458,1,Unknown,0.13,3,3,0,12,3,3,12,5,8,1981,True,A
2111,57,56-65,False,Travel Rarely,405,Research & Development,1,2,Life Sciences,2,M,93,4,2, Research Scientist ,3,Married,2721,0,False,0.24,4,1,1,13,2,2,12,2,8,1966,True,A
1489,34,26-35,True,Travel Rarely,790,Sales,24,4,Unknown,1,F,40,2,2, Sales Executive ,2,Single,7815,0,True,0.23,4,3,0,16,2,4,15,10,10,1989,False,B
1520,54,46-55,False,Travel Frequently,1050,Unknown,11,4,Medical,2,F,87,3,4, Manager ,4,Unknown,24456,3,False,0.2,3,1,1,26,2,3,14,1,12,1969,True,A
1535,34,26-35,False,Travel Rarely,971,Sales,1,3,Unknown,4,M,64,2,3, Sales Executive ,3,Unknown,12288,1,Unknown,0.14,3,4,0,11,3,3,10,8,6,1989,False,A
1586,29,26-35,False,Unknown,1370,Research & Development,3,1,Medical,2,M,87,3,1, Laboratory Technician ,1,Single,16213,1,Unknown,0.18,3,4,0,11,3,3,10,1,5,1994,True,B
1596,35,26-35,False,Travel Rarely,750,Research & Development,28,3,Life Sciences,2,M,46,4,2, Laboratory Technician ,3,Unknown,25348,1,Unknown,0.17,3,4,2,11,3,2,10,6,8,1988,True,A
1667,35,26-35,True,Unknown,880,Sales,12,4,Other,4,M,36,3,2, Sales Executive ,4,Unknown,10414,3,Unknown,0.24,4,1,0,13,2,4,11,6,7,1988,True,A
1701,34,26-35,False,Travel Rarely,678,Research & Development,19,3,Life Sciences,2,F,35,2,1, Research Scientist ,4,Married,20338,1,False,0.12,3,2,0,10,3,3,10,8,7,1989,True,A
1706,43,36-45,False,Unknown,1179,Sales,2,3,Unknown,4,M,73,3,2, Sales Executive ,4,Unknown,6069,1,True,0.17,3,1,1,10,3,3,10,8,8,1980,False,A
2112,58,56-65,False,Non Travel,350,Unknown,2,3,Medical,2,M,52,3,4, Manager ,2,Divorced,22577,4,False,0.22,4,4,1,37,0,2,16,14,14,1965,True,B
2113,36,36-45,False,Travel Rarely,1266,Sales,14,4,Unknown,2,F,63,2,2, Sales Executive ,3,Married,6060,1,True,0.13,3,1,1,10,4,3,10,1,7,1987,False,A
1971,43,36-45,False,Travel Rarely,574,Research & Development,11,3,Life Sciences,1,M,30,3,3, Healthcare Representative ,3,Married,16873,1,Unknown,0.17,3,2,1,10,1,3,10,0,9,1980,True,A
2114,55,46-55,False,Unknown,189,Unknown,26,4,Human Resources,3,M,71,4,5, Manager ,2,Married,25811,4,True,0.18,3,1,1,35,0,3,10,1,4,1968,True,B
1976,42,36-45,False,Unknown,99999,Research & Development,23,2,Unknown,4,M,37,2,2, Research Scientist ,3,Single,14811,1,Unknown,0.12,3,4,0,20,2,3,20,3,7,1981,True,A
1985,40,36-45,False,Unknown,692,Research & Development,11,3,Technical Degree,4,F,73,3,2, Laboratory Technician ,3,Married,26849,1,Unknown,0.11,3,1,1,10,2,4,10,9,4,1983,True,A
2032,56,56-65,True,Unknown,310,Research & Development,7,2,Technical Degree,4,M,72,3,1, Laboratory Technician ,3,Married,3666,8,False,0.11,3,4,1,14,4,1,10,9,8,1967,True,A
2056,39,36-45,False,Travel Rarely,722,Sales,33,1,Marketing,4,F,60,2,4, Sales Executive ,4,Unknown,8828,0,Unknown,0.11,3,1,1,11,2,2,20,9,6,1984,True,A
2115,53,46-55,False,Travel Rarely,1219,Unknown,2,4,Life Sciences,1,F,78,2,4, Manager ,4,Married,22021,2,False,0.16,3,3,0,11,3,3,25,3,7,1970,True,A
2116,27,26-35,False,Travel Frequently,994,Sales,8,3,Unknown,4,M,37,3,3, Sales Executive ,3,Single,2975,1,False,0.15,3,4,0,9,0,3,9,1,7,1996,False,A
57,30,26-35,False,Travel Frequently,721,Research & Development,1,2,Unknown,3,F,58,3,2, Laboratory Technician ,4,Unknown,10781,1,Unknown,0.23,4,4,0,12,2,3,12,3,7,1993,True,A
2117,35,26-35,False,Unknown,853,Sales,18,5,Life Sciences,2,M,71,3,3, Sales Executive ,1,Married,11031,1,Unknown,0.22,4,4,1,9,3,2,9,1,8,1988,True,B
78,32,26-35,False,Travel Rarely,427,Research & Development,1,3,Medical,1,M,99999,3,2, Manufacturing Director ,4,Married,10877,1,True,0.22,4,2,1,9,3,3,9,7,8,1991,True,A
104,30,26-35,False,Travel Rarely,852,Research & Development,1,1,Life Sciences,4,M,55,2,2, Laboratory Technician ,4,Married,15998,1,Unknown,0.12,3,3,2,11,1,3,10,3,0,1993,False,A
118,46,46-55,True,Unknown,669,Sales,9,2,Medical,3,M,64,2,3, Sales Executive ,4,Unknown,13596,1,False,0.16,3,4,0,9,3,3,9,4,7,1977,False,A
121,30,26-35,False,Travel Rarely,1334,Sales,4,2,Unknown,3,F,63,2,2, Sales Executive ,2,Unknown,19760,1,True,0.12,3,2,3,11,4,2,11,2,7,1993,False,B
125,32,26-35,False,Unknown,1093,Sales,6,4,Unknown,2,M,87,3,2, Sales Executive ,3,Single,24301,1,False,0.16,3,1,0,12,0,3,11,5,7,1991,True,A
2118,35,26-35,False,Travel Rarely,99999,Sales,37,5,Marketing,3,M,94,3,3, Sales Executive ,2,Married,11439,1,Unknown,0.13,3,1,2,11,3,3,10,0,6,1988,False,B
207,32,26-35,False,Unknown,967,Sales,8,3,Marketing,2,F,43,3,3, Sales Executive ,4,Single,15589,1,Unknown,0.14,3,4,0,9,2,3,9,3,7,1991,True,A
227,41,36-45,False,Travel Rarely,465,Research & Development,34,3,Life Sciences,1,M,56,3,1, Research Scientist ,3,Divorced,4609,4,False,0.12,3,1,1,11,2,3,9,1,8,1982,True,A
253,40,36-45,False,Travel Rarely,989,Unknown,4,1,Medical,4,F,46,3,5, Manager ,3,Unknown,6499,1,False,0.14,3,2,1,21,2,3,20,9,9,1983,False,A
264,45,36-45,False,Unknown,1195,Unknown,2,2,Unknown,1,M,65,2,4, Manager ,4,Married,20462,9,False,0.23,4,4,1,22,1,3,20,11,8,1978,True,A
291,32,26-35,True,Travel Rarely,1045,Sales,4,4,Unknown,4,M,32,1,3, Sales Executive ,4,Married,25812,1,False,0.11,3,3,0,14,2,2,14,9,8,1991,False,A
292,30,26-35,False,Non Travel,829,Research & Development,1,1,Life Sciences,3,M,88,2,3, Manufacturing Director ,3,Unknown,20925,1,False,0.22,4,3,0,11,2,3,11,5,8,1993,True,A
306,37,36-45,False,Unknown,663,Research & Development,11,3,Unknown,2,M,47,3,3, Research Director ,4,Unknown,10056,1,Unknown,0.14,3,3,3,11,1,3,10,0,7,1986,True,A
2119,37,36-45,False,Unknown,319,Unknown,4,4,Unknown,1,M,41,3,1, Sales Representative ,4,Divorced,2539,4,False,0.17,3,3,1,13,2,3,9,5,8,1986,False,A
335,40,36-45,False,Unknown,1300,Research & Development,24,2,Technical Degree,1,M,62,3,2, Research Scientist ,4,Unknown,24447,1,False,0.17,3,1,2,11,3,3,9,4,7,1983,False,A
2120,36,36-45,False,Non Travel,1105,Research & Development,24,4,Unknown,2,F,47,3,2, Laboratory Technician ,2,Married,6927,7,Unknown,0.15,3,3,1,11,3,3,9,0,8,1987,True,B
420,32,26-35,False,Travel Rarely,906,Sales,7,3,Life Sciences,4,M,91,2,2, Sales Executive ,3,Married,16985,1,Unknown,0.14,3,3,1,13,3,2,13,4,8,1991,True,A
421,38,36-45,False,Unknown,849,Research & Development,25,2,Life Sciences,1,F,81,2,3, Research Director ,2,Unknown,26707,3,Unknown,0.17,3,3,1,11,2,3,10,0,1,1985,True,B
441,30,26-35,False,Travel Rarely,1275,Research & Development,28,2,Unknown,4,F,64,3,2, Research Scientist ,4,Married,11934,1,False,0.13,3,4,2,11,2,3,10,1,9,1993,True,A
531,39,36-45,False,Unknown,1218,Unknown,1,1,Unknown,2,M,52,3,5, Manager ,3,Unknown,8213,1,Unknown,0.14,3,3,1,21,3,3,21,1,6,1984,True,A
549,60,56-65,False,Unknown,422,Unknown,7,3,Life Sciences,1,F,41,3,5, Manager ,1,Unknown,3854,5,False,0.11,3,4,0,33,5,1,29,11,10,1963,True,B
567,30,26-35,False,Unknown,1398,Sales,22,4,Other,3,F,69,3,3, Sales Executive ,1,Unknown,2890,0,Unknown,0.11,3,3,0,10,3,3,9,7,8,1993,True,B
581,31,26-35,False,Travel Rarely,1274,Research & Development,9,1,Unknown,3,M,99999,3,3, Manufacturing Director ,2,Divorced,14394,1,False,0.25,4,4,1,11,6,4,13,0,8,1992,True,B
702,33,26-35,True,Unknown,1076,Research & Development,3,3,Life Sciences,1,M,70,3,1, Research Scientist ,1,Single,3164,1,True,0.11,3,1,0,11,3,3,10,9,7,1990,False,B
716,50,46-55,False,Unknown,1207,Research & Development,28,1,Medical,4,M,74,4,1, Laboratory Technician ,3,Married,3297,1,True,0.11,3,3,3,20,3,3,20,3,8,1973,True,A
772,32,26-35,False,Unknown,430,Research & Development,24,4,Life Sciences,1,M,80,3,2, Laboratory Technician ,4,Unknown,21146,1,False,0.15,3,4,2,10,2,3,10,4,7,1991,True,A
836,42,36-45,False,Unknown,933,Research & Development,29,3,Unknown,2,M,98,3,2, Manufacturing Director ,2,Unknown,11806,1,Unknown,0.13,3,4,1,10,3,2,9,7,8,1981,True,B
840,49,46-55,True,Unknown,1184,Sales,11,3,Marketing,3,F,43,3,3, Sales Executive ,4,Married,5860,1,False,0.18,3,1,2,11,3,4,9,7,7,1974,False,A
844,27,26-35,False,Unknown,99999,Research & Development,5,1,Unknown,3,M,42,2,3, Research Director ,4,Divorced,8842,1,Unknown,0.16,3,2,1,11,3,3,9,0,8,1996,True,A
2121,33,26-35,False,Travel Rarely,586,Sales,1,3,Medical,1,M,48,4,2, Sales Executive ,1,Divorced,21816,1,Unknown,0.22,3,1,1,9,5,3,9,0,8,1990,True,B
867,52,46-55,False,Unknown,890,Research & Development,26,4,Unknown,3,F,81,2,4, Manufacturing Director ,4,Married,19028,3,False,0.22,4,3,0,31,3,3,9,0,0,1971,False,A
889,32,26-35,False,Unknown,379,Sales,5,2,Life Sciences,2,M,48,3,2, Sales Executive ,2,Unknown,8891,1,False,0.14,3,4,1,10,3,3,10,5,3,1991,True,B
924,36,36-45,False,Unknown,1425,Research & Development,14,1,Life Sciences,3,M,68,3,2, Healthcare Representative ,4,Unknown,4821,0,Unknown,0.17,3,1,1,11,2,2,16,4,11,1987,False,A
2122,31,26-35,False,Non Travel,1188,Sales,20,2,Unknown,4,F,45,3,2, Sales Executive ,3,Unknown,24406,1,Unknown,0.13,3,4,1,11,2,2,9,0,0,1992,False,A
2123,36,36-45,False,Travel Rarely,938,Research & Development,2,4,Medical,3,M,79,3,1, Laboratory Technician ,3,Single,12287,4,False,0.21,4,3,0,11,6,3,11,3,9,1987,True,A
976,52,46-55,False,Unknown,1053,Unknown,1,2,Life Sciences,4,M,70,3,4, Manager ,4,Married,13829,2,Unknown,0.15,3,2,1,26,2,3,9,7,8,1971,True,A
992,33,26-35,False,Non Travel,722,Unknown,17,3,Unknown,4,M,38,3,4, Manager ,3,Single,20489,1,Unknown,0.11,3,4,0,10,2,3,10,6,0,1990,False,A
1002,45,36-45,False,Non Travel,248,Research & Development,23,2,Life Sciences,4,M,42,3,2, Laboratory Technician ,1,Unknown,14039,1,True,0.15,3,3,1,9,2,3,9,0,8,1978,True,B
1073,36,36-45,False,Travel Rarely,796,Research & Development,12,5,Unknown,4,F,51,2,3, Manufacturing Director ,4,Unknown,15669,0,Unknown,0.11,3,2,0,15,2,2,14,7,8,1987,True,A
1138,49,46-55,False,Unknown,174,Sales,8,4,Unknown,4,M,56,2,4, Sales Executive ,2,Unknown,11879,6,Unknown,0.17,3,2,1,22,3,3,9,2,3,1974,False,B
2124,29,26-35,True,Unknown,408,Sales,23,1,Unknown,4,F,45,2,3, Sales Executive ,1,Unknown,11162,1,Unknown,0.13,3,1,1,11,3,1,11,3,10,1994,True,B
1192,29,26-35,False,Unknown,99999,Research & Development,6,1,Unknown,2,F,54,3,1, Laboratory Technician ,4,Married,26342,1,Unknown,0.13,3,1,1,11,5,3,10,0,8,1994,False,A
1196,37,36-45,False,Unknown,977,Research & Development,1,3,Life Sciences,4,F,56,2,2, Manufacturing Director ,4,Married,9961,1,Unknown,0.13,3,2,1,14,2,2,14,3,11,1986,True,A
2125,33,26-35,False,Travel Rarely,536,Sales,10,5,Unknown,4,M,82,4,3, Sales Executive ,3,Unknown,21708,0,Unknown,0.14,3,4,2,11,3,3,9,0,8,1990,True,A
2126,34,26-35,False,Travel Frequently,135,Research & Development,19,3,Medical,3,F,46,3,2, Laboratory Technician ,2,Divorced,22534,4,False,0.13,3,3,2,15,2,4,11,5,10,1989,True,B
1315,28,26-35,False,Non Travel,1476,Research & Development,1,3,Unknown,3,F,55,1,2, Laboratory Technician ,4,Married,16392,0,False,0.11,3,1,3,10,6,3,9,7,5,1995,True,A
1324,31,26-35,False,Non Travel,587,Sales,2,4,Unknown,4,F,57,3,3, Sales Executive ,3,Unknown,8935,1,True,0.19,3,1,1,10,5,2,10,9,6,1992,True,A
1334,42,36-45,False,Non Travel,495,Unknown,2,1,Life Sciences,3,M,99999,3,4, Manager ,3,Unknown,26582,0,True,0.13,3,4,0,21,3,2,20,2,10,1981,False,A
1346,40,36-45,False,Travel Rarely,523,Research & Development,2,3,Life Sciences,3,M,98,3,2, Research Scientist ,4,Single,22455,1,Unknown,0.13,3,3,0,9,4,3,9,8,8,1983,True,A
1356,34,26-35,False,Unknown,507,Sales,15,2,Medical,3,F,66,3,2, Sales Executive ,1,Single,23553,1,Unknown,0.12,3,4,0,11,6,4,10,9,6,1989,True,B
1423,58,56-65,False,Travel Rarely,1055,Research & Development,1,3,Unknown,4,F,76,3,5, Research Director ,1,Unknown,22456,3,Unknown,0.21,4,3,1,11,3,3,9,1,5,1965,False,B
1459,31,26-35,True,Travel Frequently,1445,Research & Development,1,5,Unknown,3,F,100,4,3, Manufacturing Director ,2,Unknown,8931,1,Unknown,0.11,3,1,0,11,2,3,10,4,7,1992,True,B
2127,40,36-45,False,Non Travel,218,Research & Development,8,1,Unknown,4,M,55,2,3, Research Director ,2,Unknown,25178,2,False,0.11,3,3,1,16,5,3,9,4,8,1983,True,B
1472,53,46-55,False,Unknown,447,Research & Development,2,3,Medical,4,M,39,4,4, Research Director ,2,Single,19764,4,False,0.12,3,2,0,35,2,2,9,8,8,1970,True,B
1485,34,26-35,False,Unknown,829,Research & Development,15,3,Unknown,2,M,71,3,4, Research Director ,1,Unknown,11929,7,Unknown,0.14,3,4,2,16,3,2,14,6,9,1989,True,B
2128,35,26-35,False,Travel Rarely,1029,Research & Development,16,3,Life Sciences,4,F,91,2,3, Healthcare Representative ,2,Single,21195,1,False,0.19,3,4,0,11,3,1,11,3,3,1988,True,B
1543,37,36-45,False,Unknown,674,Research & Development,13,3,Unknown,1,M,47,3,2, Research Scientist ,4,Married,3031,1,Unknown,0.17,3,1,0,11,2,3,10,3,7,1986,True,A
1547,42,36-45,False,Travel Frequently,99999,Research & Development,2,3,Unknown,4,M,40,3,3, Healthcare Representative ,4,Unknown,18611,2,True,0.14,3,3,1,24,3,1,20,13,9,1981,True,A
1553,45,36-45,False,Unknown,538,Research & Development,1,4,Unknown,1,M,66,3,3, Healthcare Representative ,2,Divorced,20933,1,Unknown,0.12,3,1,3,11,4,3,10,7,7,1978,True,B
1562,30,26-35,True,Travel Rarely,740,Sales,1,3,Unknown,2,M,64,2,2, Sales Executive ,1,Married,5323,1,False,0.11,3,4,1,11,4,3,10,6,7,1993,True,B
1582,38,36-45,False,Travel Rarely,1245,Sales,14,3,Life Sciences,3,M,80,3,2, Sales Executive ,2,Married,12355,0,Unknown,0.11,3,4,1,10,3,3,9,7,7,1985,True,B
1606,50,46-55,False,Unknown,1234,Research & Development,20,5,Medical,2,M,41,3,4, Healthcare Representative ,3,Unknown,20689,2,Unknown,0.15,3,3,1,32,3,3,30,12,13,1973,False,A
2129,39,36-45,False,Travel Rarely,170,Research & Development,3,2,Unknown,3,M,76,2,2, Laboratory Technician ,3,Unknown,10302,0,Unknown,0.15,3,4,1,11,3,3,10,0,7,1984,True,A
1658,34,26-35,False,Travel Rarely,1130,Research & Development,3,3,Unknown,4,F,66,3,2, Research Scientist ,2,Unknown,19332,1,False,0.12,3,3,1,11,2,3,11,7,9,1989,True,B
1665,54,46-55,False,Travel Rarely,584,Research & Development,22,5,Unknown,2,F,91,3,4, Manager ,3,Unknown,18685,3,Unknown,0.25,4,3,1,36,6,3,10,4,7,1969,True,A
2130,41,36-45,False,Travel Rarely,918,Sales,6,3,Marketing,4,M,35,3,3, Sales Executive ,3,Unknown,15869,1,False,0.12,3,2,0,11,3,3,10,8,7,1982,False,A
1737,39,36-45,False,Unknown,792,Research & Development,1,3,Life Sciences,4,M,77,3,2, Laboratory Technician ,4,Married,8989,1,Unknown,0.15,3,4,1,11,2,3,9,5,8,1984,True,A
2131,40,36-45,False,Travel Rarely,611,Unknown,7,4,Unknown,2,M,88,3,5, Manager ,2,Unknown,4349,1,False,0.14,3,2,0,11,3,2,21,12,8,1983,False,B
2132,33,26-35,False,Unknown,99999,Research & Development,4,3,Technical Degree,4,M,90,3,2, Research Scientist ,2,Unknown,6194,5,False,0.15,3,4,2,11,2,2,9,1,7,1990,True,B
1790,36,36-45,False,Unknown,1383,Research & Development,10,3,Life Sciences,4,M,90,3,3, Healthcare Representative ,1,Unknown,25949,7,Unknown,0.13,3,4,1,15,1,3,12,5,7,1987,False,B
2133,33,26-35,False,Unknown,867,Research & Development,8,4,Life Sciences,4,M,90,4,1, Research Scientist ,1,Married,6076,6,False,0.19,3,2,1,14,1,3,10,7,6,1990,True,B
1823,34,26-35,False,Travel Rarely,99999,Sales,8,2,Unknown,2,M,92,4,2, Sales Executive ,3,Unknown,22128,1,False,0.21,4,3,2,10,5,3,10,4,8,1989,False,A
2134,29,26-35,False,Travel Frequently,574,Research & Development,46,1,Medical,4,M,40,3,1, Laboratory Technician ,4,Married,7003,1,False,0.13,3,2,0,11,3,4,11,3,10,1994,False,A
1857,46,46-55,False,Travel Rarely,706,Research & Development,2,2,Life Sciences,4,M,82,3,3, Manufacturing Director ,4,Divorced,19989,3,Unknown,0.14,3,3,1,12,4,2,9,4,7,1977,True,A
1864,27,26-35,False,Travel Rarely,728,Unknown,23,1,Medical,2,F,36,2,2, Sales Representative ,3,Married,7018,1,False,0.21,4,4,1,11,5,3,9,5,8,1996,False,A
1881,31,26-35,False,Unknown,311,Research & Development,36,3,Life Sciences,2,M,89,3,2, Laboratory Technician ,3,Divorced,18624,1,False,0.11,3,1,1,10,2,3,10,0,2,1992,False,A
1888,45,36-45,False,Travel Rarely,556,Research & Development,25,2,Life Sciences,2,F,93,2,2, Manufacturing Director ,4,Unknown,23888,0,False,0.13,3,4,2,10,2,2,9,3,8,1978,True,A
1950,34,26-35,False,Travel Rarely,937,Sales,1,3,Marketing,1,M,32,3,3, Sales Executive ,4,Unknown,6770,1,False,0.21,4,1,0,14,3,2,14,2,1,1989,False,A
2135,31,26-35,False,Unknown,1125,Research & Development,1,3,Life Sciences,4,M,48,1,2, Research Scientist ,1,Married,5771,1,Unknown,0.21,3,2,0,10,6,3,10,8,7,1992,True,B
1962,35,26-35,False,Unknown,1224,Sales,7,4,Unknown,3,F,55,3,2, Sales Executive ,4,Unknown,13586,1,True,0.11,3,4,0,10,2,3,10,0,9,1988,False,A
1975,39,36-45,False,Travel Rarely,119,Sales,15,4,Marketing,2,M,77,3,4, Sales Executive ,1,Single,25098,0,False,0.12,3,1,0,21,3,3,20,11,10,1984,False,B
1986,40,36-45,False,Travel Rarely,444,Sales,2,2,Marketing,2,F,92,3,2, Sales Executive ,2,Married,4258,3,False,0.14,3,3,1,11,4,3,11,5,10,1983,True,B
2136,30,26-35,False,Travel Rarely,911,Research & Development,1,2,Medical,4,M,76,3,1, Laboratory Technician ,2,Married,4077,1,False,0.13,3,3,0,12,6,2,12,1,7,1993,False,B
2000,47,46-55,False,Unknown,99999,Research & Development,1,1,Unknown,3,F,98,3,3, Research Director ,2,Married,17231,0,False,0.18,3,1,2,14,3,1,13,5,12,1976,True,B
2137,52,46-55,False,Non Travel,585,Unknown,29,4,Unknown,1,M,99999,3,1, Sales Representative ,4,Divorced,19788,2,Unknown,0.15,3,2,2,16,3,3,9,0,0,1971,True,A
2,49,46-55,False,Travel Frequently,99999,Research & Development,8,1,Unknown,3,M,61,2,2, Research Scientist ,2,Married,24907,1,False,0.23,4,4,1,10,3,3,10,1,7,1974,True,B
5,33,26-35,False,Travel Frequently,1392,Research & Development,19,4,Life Sciences,2,F,56,3,1, Research Scientist ,3,Married,23159,1,Unknown,0.11,3,3,0,11,3,3,8,3,0,1990,True,A
2138,32,26-35,False,Unknown,1005,Research & Development,2,2,Life Sciences,4,M,79,3,1, Laboratory Technician ,4,Unknown,11864,0,Unknown,0.13,3,3,0,8,2,2,7,3,6,1991,True,A
2139,38,36-45,False,Travel Frequently,99999,Research & Development,23,3,Unknown,4,M,44,2,3, Manufacturing Director ,3,Unknown,8787,0,False,0.21,4,2,0,11,2,3,9,1,8,1985,True,A
2140,36,36-45,False,Travel Rarely,1299,Research & Development,27,3,Medical,3,M,94,3,2, Healthcare Representative ,3,Unknown,16577,6,Unknown,0.13,3,2,2,17,3,2,7,7,7,1987,True,A
35,42,36-45,False,Unknown,99999,Sales,8,4,Unknown,3,M,48,3,2, Sales Executive ,2,Unknown,21173,0,Unknown,0.11,3,4,1,10,2,3,9,4,2,1981,False,B
76,31,26-35,False,Unknown,655,Research & Development,7,4,Life Sciences,4,M,48,3,2, Laboratory Technician ,4,Divorced,9528,3,False,0.22,4,4,1,11,3,2,7,1,7,1992,False,A
98,31,26-35,False,Travel Rarely,746,Research & Development,8,4,Unknown,3,F,61,3,2, Manufacturing Director ,4,Single,20682,1,False,0.23,4,4,0,11,2,3,11,1,8,1992,False,A
120,51,46-55,False,Unknown,632,Sales,21,4,Marketing,3,M,71,3,2, Sales Executive ,4,Unknown,8423,0,Unknown,0.22,4,4,0,11,2,1,10,1,0,1972,True,A
147,34,26-35,True,Travel Frequently,658,Research & Development,7,3,Unknown,1,M,66,1,2, Laboratory Technician ,3,Unknown,22887,1,True,0.24,4,4,0,9,3,3,9,0,6,1989,True,A
154,36,36-45,False,Unknown,1467,Sales,11,2,Technical Degree,2,F,92,3,3, Sales Executive ,4,Unknown,22952,0,False,0.14,3,3,1,10,6,3,9,2,8,1987,False,A
159,30,26-35,False,Travel Frequently,1312,Research & Development,23,3,Unknown,1,M,96,1,1, Research Scientist ,3,Divorced,22310,1,False,0.25,4,3,3,11,2,2,10,0,9,1993,False,A
160,33,26-35,False,Non Travel,750,Sales,12,2,Unknown,2,M,95,3,2, Sales Executive ,2,Married,15480,0,Unknown,0.13,3,1,1,11,2,4,7,0,7,1990,True,B
163,31,26-35,True,Unknown,249,Sales,6,4,Life Sciences,2,M,76,1,2, Sales Executive ,3,Married,20739,4,Unknown,0.18,3,2,0,11,3,2,7,7,7,1992,False,A
176,41,36-45,False,Travel Rarely,802,Sales,23,1,Unknown,3,M,96,3,3, Sales Executive ,3,Divorced,21196,3,True,0.13,3,3,1,11,2,3,9,0,7,1982,False,A
177,26,26-35,False,Travel Rarely,1355,Unknown,25,1,Unknown,3,F,61,3,1, Human Resources ,3,Unknown,8916,1,Unknown,0.23,4,4,1,8,3,3,8,5,7,1997,True,A
195,32,26-35,False,Unknown,689,Sales,9,2,Unknown,4,M,35,1,2, Sales Executive ,4,Divorced,22812,0,False,0.17,3,4,3,11,2,4,8,0,7,1991,True,A
202,40,36-45,False,Travel Frequently,1395,Research & Development,26,3,Unknown,2,F,54,3,2, Research Scientist ,2,Divorced,8504,1,False,0.11,3,1,1,20,2,3,20,2,13,1983,False,B
205,53,46-55,False,Travel Rarely,1436,Sales,6,2,Marketing,2,M,34,3,2, Sales Representative ,3,Unknown,16047,2,True,0.2,4,4,1,13,3,1,7,4,5,1970,True,A
2141,29,26-35,False,Non Travel,1496,Research & Development,1,1,Technical Degree,4,M,41,3,2, Manufacturing Director ,3,Married,26283,1,Unknown,0.13,3,1,1,10,1,3,10,0,9,1994,False,A
2142,36,36-45,False,Travel Frequently,1480,Research & Development,3,2,Unknown,4,M,30,3,1, Laboratory Technician ,2,Unknown,15062,4,False,0.12,3,3,0,13,3,2,8,7,2,1987,True,B
252,33,26-35,False,Travel Rarely,99999,Research & Development,14,3,Unknown,4,F,99999,3,1, Research Scientist ,2,Unknown,4673,1,Unknown,0.13,3,4,1,8,5,3,8,1,6,1990,True,B
258,51,46-55,False,Travel Rarely,313,Research & Development,3,3,Unknown,4,F,98,3,4, Healthcare Representative ,2,Single,7192,3,Unknown,0.18,3,3,0,11,6,3,7,1,0,1972,False,B
260,27,26-35,False,Travel Rarely,894,Research & Development,9,3,Medical,4,F,99,3,1, Research Scientist ,2,Single,11781,1,False,0.16,3,4,0,11,2,2,7,0,3,1996,False,B
267,37,36-45,False,Unknown,290,Research & Development,21,3,Life Sciences,2,M,65,4,1, Research Scientist ,1,Unknown,22977,1,True,0.12,3,1,1,11,3,2,8,1,7,1986,True,B
2143,38,36-45,False,Unknown,1084,Research & Development,29,3,Unknown,4,M,54,3,2, Manufacturing Director ,4,Married,4185,3,False,0.18,3,1,1,9,3,1,7,1,7,1985,True,A
275,49,46-55,False,Non Travel,1002,Research & Development,18,4,Unknown,4,M,92,3,2, Manufacturing Director ,4,Divorced,23793,1,True,0.15,3,1,2,7,0,3,7,1,7,1974,False,A
